LineID,StopID,StopName,EventTime,Headway,VehicleIDs
57,490013774E,Traps Lane,2025-06-28 10:52:26,60,LF24ZKA|LG23EUN
77,490010524S,Battersea Arts Centre,2025-06-28 11:07:21,65,YX18KXE|LF67EXD
77,490004390S,Brocklebank Road,2025-06-28 11:22:21,20,LF67EXD|YX18KXE
255,490016323E,South Lodge Avenue / Yorkshire Road,2025-06-28 11:22:22,84,LY24EKW|LY24FWO
255,490016323E,South Lodge Avenue / Yorkshire Road,2025-06-28 11:22:22,84,LY24EKW|LY24FWO
57,490012269E,Southcroft Road / Mitcham Lane,2025-06-28 11:37:23,66,LF24ZKD|LF24ZGO
57,490006412E2,Eden Street,2025-06-28 12:07:23,30,LG23EUW|LF24ZGK
77,490008969N,Lansdowne Green,2025-06-28 12:22:20,23,YX18KXA|BD65EVU
255,490000012J,Balham Station  / Balham Station Road,2025-06-28 12:22:23,42,LY24FWO|LY24EKW
255,490000012J,Balham Station  / Balham Station Road,2025-06-28 12:22:27,42,LY24FWO|LY24EKW
